Year,step_1987,fmwt_ds,fmwt_as,fmwt_fcs,fmwt_lfs,fmwt_ssa,fmwt_ss0,fmwt_sb0,tns_ds,tns_ds_lag1,tns_sb,tns_suisun_sb,bsot_sb,bsmw_sb,bsot_sf,bsot_lfs,bsmw_lfs,bsot_bg,bsmw_ph,bsmw_psd,bsmw_ssp,bsot_bsh,fmwt_log_ds,fmwt_log_as,fmwt_log_fcs,fmwt_log_lfs,fmwt_log_ssa,fmwt_log_ss0,fmwt_log1_ss0,fmwt_log_sb0,tns_log_ds,tns_log_sb,tns_suisun_log_sb,bsot_log_sb,bsmw_log_sb,bsot_log_sf,bsot_log_lfs,bsmw_log_lfs,bsot_log_bg,bsmw_log_ph,bsmw_log_psd,bsmw_log_ssp,bsot_log_bsh,csf_jm_chipps,csf_aj_sac,csf_aj_ln_sac,csf_aj_chipps,csf_jm_seine,salv_log_ds,surv_ds_fs,surv_ds_sf,surv_ds_ff,surv_ds_fs_ln,surv_ds_sf_ln,surv_ds_ff_ln,jab_ds,pfab,pfab1,x2_sp,x2_sp_lag,days_x2_suisun,days_temp,days_yolo,epaj,epjm,epsd,jab_ds_div10k,pfab_div1k,pfab1_div1k,epaj_div1k,epjm_div1k,epsd_div1k,entrain,flow_feb_fp,flow_feb_fp_ln,flow_aj_rv,flow_fm_logdout,flow_jj_logdout,flow_aj_logdout,flow_aj_export,flow_jj_dout,fmwt_secchi,fmwt_sc
1959,0,NA,NA,NA,NA,NA,NA,NA,12.1,25.4,33.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1173,1.5403,0.6021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.4564,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40485.714,10.60870445,5153.857,4.4205,2.8111,2.2075,84.6727,55.2698,NA,NA
1960,0,NA,NA,NA,NA,NA,NA,NA,25.4,21.3,45.6,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4216,1.6684,1.1644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.6772,83.4564,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35558.621,10.47893791,8233.516,4.4467,2.7841,2.3975,85.9444,85.8762,NA,NA
1961,0,NA,NA,NA,NA,NA,NA,NA,21.3,24.9,31.6,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3483,1.5132,0.8692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.4971,78.6772,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38728.571,10.56433288,6969.429,4.3636,2.7147,2.2827,91.7052,73.3815,NA,NA
1962,0,NA,NA,NA,NA,NA,NA,NA,24.9,1.8,78.9,32.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4133,1.9025,1.5198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2412,80.4971,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43001.429,10.66898863,11672.154,4.6228,2.943,2.6164,89.8117,183.9017,NA,NA
1963,0,NA,NA,NA,NA,NA,NA,NA,1.8,24.6,81.7,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4472,1.9175,1.6484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.4017,71.2412,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56089.286,10.93470009,41969.604,4.8577,3.1834,3.1045,71.3255,348.2517,NA,NA
1964,0,NA,NA,NA,NA,NA,NA,NA,24.6,6,75.4,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4082,1.8831,1.3365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.5355,62.4017,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20882.759,9.946679169,6194.659,4.1219,2.6199,2.2882,95.4981,119.673,NA,NA
1965,0,NA,NA,NA,NA,NA,NA,NA,6,NA,117.2,67.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8451,2.0726,1.8376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.3078,80.5355,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45967.857,10.73569767,23065.879,4.6369,3.1873,2.8944,76.5261,309.8615,NA,NA
1966,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.4392,67.3078,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27007.143,10.20385667,8383.033,4.35,2.8038,2.3847,99.6681,79.6581,NA,NA
1967,0,408,3422,43,81737,65,64,19677,NA,NA,108.7,73.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6107,3.5343,1.6335,4.9124,1.8129,1.8062,1.8129,4.294,NA,2.0402,1.8727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.2099,79.4392,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51735.714,10.85390362,43408.901,4.8644,3.292,3.2242,49.9836,1196.6105,0.4179853,3994.22
1968,0,696,758,33,3279,18,18,3719,NA,2.5,57.3,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8426,2.8797,1.5185,3.5157,1.2553,1.2553,1.2788,3.5704,NA,1.7657,1.2718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7059,NA,NA,0.534082486,NA,408,NA,81.3239,56.2099,68,NA,NA,NA,NA,NA,NA,0.408,NA,NA,NA,NA,NA,39779.31,10.59110221,6547.901,4.4355,2.8077,2.2296,148.3006,104.0579,0.4544944,8738.292
1969,0,313,3688,60,59350,28,21,8072,2.5,32.5,73.8,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4955,3.5668,1.7782,4.7734,1.4472,1.3222,1.3424,3.907,0.5441,1.8739,1.6149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4497,NA,NA,-0.79914647,NA,696,408,58.709,81.3239,81,NA,NA,NA,NA,NA,NA,0.696,0.408,NA,NA,NA,NA,71792.857,11.18154027,29772.132,4.9851,3.4158,3.1357,84.8121,838.0389,0.5060748,5921.055
1970,0,1673,856,123,6515,17,17,8276,32.5,12.5,78.5,41.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2235,2.9325,2.0899,3.8139,1.2305,1.2305,1.2553,3.9178,1.525,1.9004,1.6325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.345,NA,NA,1.67617051,NA,313,696,78.4011,58.709,49,NA,NA,NA,NA,NA,NA,0.313,0.696,NA,NA,NA,NA,66060.714,11.09832951,6877,4.6746,3.2622,2.3716,128.7804,162.1882,0.5772803,10133.888
1971,0,1303,1459,70,15903,18,18,9475,12.5,11.1,69.6,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1149,3.1641,1.8451,4.2015,1.2553,1.2553,1.2788,3.9766,1.1303,1.8488,1.6628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7788,NA,NA,-0.249949124,NA,1673,313,64.6964,78.4011,144,NA,NA,NA,NA,NA,NA,1.673,0.313,NA,NA,NA,NA,31196.429,10.34805891,23541.626,4.5106,3.0076,2.8319,139.1898,463.1949,0.4757724,10969.919
1972,0,1265,335,50,760,13,12,6116,11.1,21.3,34.5,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1021,2.525,1.699,2.8808,1.114,1.0792,1.1139,3.7865,1.0828,1.5502,1.3444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.0738,0.069,0.9708,2.644317856,-2.673915032,-0.029597176,18338.2154,1303,1673,83.108,64.6964,74,107,NA,1602,350.5,2726.042,1.833821537,1.303,1.673,1.602,0.3505,2.726042,0.1561,22117.241,10.00411272,6653.253,4.1204,2.5599,2.1884,171.9309,129.6378,0.7239301,9782.803
1973,0,1145,1085,72,5896,4,4,4286,21.3,13,62.7,47.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0588,3.0354,1.8573,3.7706,0.6022,0.6022,0.699,3.6321,1.3483,1.8041,1.6821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7373,0.1036,0.9051,2.167601866,-2.267269351,-0.099667485,11052.6917,1265,1303,74.7402,83.108,64,111,NA,846,767.8333,2028.833,1.105269167,1.265,1.303,0.846,0.7678333,2.028833,0.0595,65257.143,11.08609079,10219.451,4.7262,3.1785,2.5079,162.6551,166.6126,0.4716078,9159.121
